t,x,y
3.860000,0.245480,0.910770
3.870000,0.246825,0.904522
3.880000,0.248184,0.898319
3.890000,0.249559,0.892161
3.900000,0.250949,0.886049
3.910000,0.252355,0.879982
3.920000,0.253776,0.873960
3.930000,0.255212,0.867982
3.940000,0.256665,0.862048
3.950000,0.258133,0.856157
3.960000,0.259617,0.850310
3.970000,0.261118,0.844506
3.980000,0.262635,0.838745
3.990000,0.264168,0.833026
4.000000,0.265717,0.827350
4.010000,0.267284,0.821715
4.020000,0.268867,0.816122
4.030000,0.270467,0.810570
4.040000,0.272084,0.805060
4.050000,0.273718,0.799590
4.060000,0.275370,0.794160
4.070000,0.277039,0.788771
4.080000,0.278725,0.783421
4.090000,0.280430,0.778111
4.100000,0.282152,0.772840
4.110000,0.283892,0.767609
4.120000,0.285651,0.762416
4.130000,0.287427,0.757261
4.140000,0.289223,0.752145
4.150000,0.291037,0.747067
4.160000,0.292869,0.742026
4.170000,0.294721,0.737023
4.180000,0.296591,0.732057
4.190000,0.298481,0.727127
4.200000,0.300391,0.722235
4.210000,0.302320,0.717379
4.220000,0.304268,0.712558
4.230000,0.306237,0.707774
4.240000,0.308226,0.703025
4.250000,0.310235,0.698312
4.260000,0.312264,0.693634
4.270000,0.314314,0.688991
4.280000,0.316385,0.684382
4.290000,0.318477,0.679807
4.300000,0.320589,0.675267
4.310000,0.322724,0.670761
4.320000,0.324879,0.666288
4.330000,0.327057,0.661849
4.340000,0.329256,0.657442
4.350000,0.331477,0.653069
4.360000,0.333721,0.648729
4.370000,0.335987,0.644421
4.380000,0.338275,0.640145
4.390000,0.340587,0.635901
4.400000,0.342921,0.631689
4.410000,0.345279,0.627509
4.420000,0.347660,0.623360
4.430000,0.350065,0.619242
4.440000,0.352494,0.615155
4.450000,0.354947,0.611099
4.460000,0.357424,0.607073
4.470000,0.359926,0.603078
4.480000,0.362452,0.599112
4.490000,0.365003,0.595177
4.500000,0.367580,0.591271
4.510000,0.370181,0.587394
4.520000,0.372809,0.583547
4.530000,0.375462,0.579729
4.540000,0.378142,0.575939
4.550000,0.380847,0.572178
4.560000,0.383579,0.568446
4.570000,0.386338,0.564742
4.580000,0.389124,0.561066
4.590000,0.391938,0.557417
4.600000,0.394779,0.553797
4.610000,0.397647,0.550204
4.620000,0.400544,0.546638
4.630000,0.403469,0.543099
4.640000,0.406422,0.539587
4.650000,0.409404,0.536101
4.660000,0.412415,0.532642
4.670000,0.415456,0.529210
4.680000,0.418526,0.525804
4.690000,0.421626,0.522423
4.700000,0.424756,0.519068
4.710000,0.427916,0.515739
4.720000,0.431107,0.512436
4.730000,0.434329,0.509157
4.740000,0.437583,0.505904
4.750000,0.440867,0.502676
4.760000,0.444184,0.499472
4.770000,0.447533,0.496293
4.780000,0.450914,0.493138
4.790000,0.454327,0.490008
4.800000,0.457774,0.486901
4.810000,0.461254,0.483818
4.820000,0.464768,0.480759
4.830000,0.468315,0.477724
4.840000,0.471897,0.474712
4.850000,0.475513,0.471723
4.860000,0.479164,0.468758
4.870000,0.482850,0.465815
4.880000,0.486572,0.462895
4.890000,0.490329,0.459998
4.900000,0.494123,0.457123
4.910000,0.497953,0.454270
4.920000,0.501820,0.451440
4.930000,0.505724,0.448631
4.940000,0.509666,0.445845
4.950000,0.513645,0.443080
4.960000,0.517663,0.440336
4.970000,0.521719,0.437614
4.980000,0.525814,0.434914
4.990000,0.529949,0.432234
5.000000,0.534123,0.429575
5.010000,0.538337,0.426938
5.020000,0.542591,0.424321
5.030000,0.546887,0.421724
5.040000,0.551223,0.419148
5.050000,0.555601,0.416592
5.060000,0.560021,0.414056
5.070000,0.564483,0.411540
5.080000,0.568987,0.409045
5.090000,0.573535,0.406568
5.100000,0.578126,0.404112
5.110000,0.582761,0.401675
5.120000,0.587441,0.399257
5.130000,0.592165,0.396859
5.140000,0.596934,0.394479
5.150000,0.601749,0.392119
5.160000,0.606610,0.389777
5.170000,0.611517,0.387454
5.180000,0.616471,0.385150
5.190000,0.621472,0.382864
5.200000,0.626521,0.380597
5.210000,0.631618,0.378347
5.220000,0.636764,0.376116
5.230000,0.641959,0.373903
5.240000,0.647203,0.371708
5.250000,0.652497,0.369530
5.260000,0.657842,0.367370
5.270000,0.663237,0.365228
5.280000,0.668684,0.363103
5.290000,0.674183,0.360996
5.300000,0.679734,0.358905
5.310000,0.685339,0.356832
5.320000,0.690996,0.354775
5.330000,0.696707,0.352736
5.340000,0.702473,0.350713
5.350000,0.708293,0.348707
5.360000,0.714169,0.346717
5.370000,0.720100,0.344744
5.380000,0.726089,0.342787
5.390000,0.732133,0.340847
5.400000,0.738236,0.338922
5.410000,0.744396,0.337014
5.420000,0.750615,0.335121
5.430000,0.756893,0.333245
5.440000,0.763231,0.331384
5.450000,0.769629,0.329539
5.460000,0.776088,0.327709
5.470000,0.782608,0.325895
5.480000,0.789189,0.324096
5.490000,0.795834,0.322312
5.500000,0.802541,0.320544
5.510000,0.809312,0.318790
5.520000,0.816148,0.317052
5.530000,0.823048,0.315328
5.540000,0.830014,0.313619
5.550000,0.837045,0.311925
5.560000,0.844144,0.310246
5.570000,0.851309,0.308581
5.580000,0.858543,0.306931
5.590000,0.865845,0.305295
5.600000,0.873217,0.303673
5.610000,0.880658,0.302065
5.620000,0.888170,0.300472
5.630000,0.895753,0.298893
5.640000,0.903408,0.297327
5.650000,0.911135,0.295776
5.660000,0.918936,0.294238
5.670000,0.926811,0.292714
5.680000,0.934760,0.291204
5.690000,0.942784,0.289707
5.700000,0.950884,0.288224
5.710000,0.959061,0.286754
5.720000,0.967316,0.285298
5.730000,0.975648,0.283854
5.740000,0.984059,0.282424
5.750000,0.992550,0.281008
5.760000,1.001121,0.279604
5.770000,1.009774,0.278213
5.780000,1.018508,0.276835
5.790000,1.027325,0.275470
5.800000,1.036225,0.274118
5.810000,1.045209,0.272779
5.820000,1.054278,0.271452
5.830000,1.063433,0.270138
5.840000,1.072674,0.268836
5.850000,1.082003,0.267547
5.860000,1.091420,0.266271
5.870000,1.100925,0.265006
5.880000,1.110521,0.263754
5.890000,1.120207,0.262514
5.900000,1.129985,0.261287
